"table","column","marker","n_records","kind","approved","approved_by","approved_date","note"
"animals.parquet","weaning_source","age>8mo(ASSUMED 205d)",665,"invented","NO","","","Manufactures a weaning date at birth+205d for any animal over 8 months with no weaning record. 25 of these land AFTER the animal died or was sold, including calves dead on their birth date."
"cow_lactations.parquet","start_rule","first_calving-283d",434,"invented","NO","","","Manufactures a cow-season start by subtracting the gestation constant from her first calving."
"animals.parquet","entry_rule","first_movement(EST)",359,"invented","NO","","","Uses the first movement record as the entry date when no birth or purchase date exists. The animal was here before that movement."
"animals.parquet","exit_rule","last_activity(EST)",284,"invented","NO","","","Uses the last dated child record as the exit date when no sale or death date exists. The animal may have been here long after."
"calf_fates.parquet","c_wean_source","age>8mo(ASSUMED 205d)",146,"invented","NO","","","Manufactures a weaning date at birth+205d for any animal over 8 months with no weaning record. 25 of these land AFTER the animal died or was sold, including calves dead on their birth date."
"animals.parquet","weaning_source","weaning_weight(EST 205d)",118,"invented","NO","","","Manufactures a weaning date at birth+205d when a weaning WEIGHT exists but no date."
"bulls.parquet","entry_rule","first_movement(EST)",118,"invented","NO","","","Uses the first movement record as the entry date when no birth or purchase date exists. The animal was here before that movement."
"bulls.parquet","weaning_source","age>8mo(ASSUMED 205d)",105,"invented","NO","","","Manufactures a weaning date at birth+205d for any animal over 8 months with no weaning record. 25 of these land AFTER the animal died or was sold, including calves dead on their birth date."
"bulls.parquet","exit_rule","last_activity(EST)",88,"invented","NO","","","Uses the last dated child record as the exit date when no sale or death date exists. The animal may have been here long after."
"calf_fates.parquet","c_wean_source","weaning_weight(EST 205d)",46,"invented","NO","","","Manufactures a weaning date at birth+205d when a weaning WEIGHT exists but no date."
"bulls.parquet","weaning_source","weaning_weight(EST 205d)",35,"invented","NO","","","Manufactures a weaning date at birth+205d when a weaning WEIGHT exists but no date."
"animals.parquet","entry_rule","created_at(EST)",14,"invented","NO","","","Uses the CattleMax record-creation timestamp as the entry date. That is when someone typed it in, not when the animal arrived."
"cow_lactations.parquet","start_rule","previous_calving",3964,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","entry_rule","birth_date",3769,"observed","n/a","","","read straight from the export; nothing manufactured"
"phase_risk.parquet","clock_anchor","days since birth",3762,"observed","n/a","","","read straight from the export; nothing manufactured"
"phase_risk.parquet","clock_anchor","days since weaning",3282,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","weaning_source","weaning_date",3079,"observed","n/a","","","read straight from the export; nothing manufactured"
"calf_fates.parquet","c_wean_source","weaning_date",2415,"observed","n/a","","","read straight from the export; nothing manufactured"
"cow_lactations.parquet","dam_link_source","breeding_id(recipient)",2401,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_rule","sale_date",2096,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_rule","open",1857,"observed","n/a","","","read straight from the export; nothing manufactured"
"cow_lactations.parquet","dam_link_source","dam_animal_id(carrier)",1624,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","entry_rule","birth_date",1620,"observed","n/a","","","read straight from the export; nothing manufactured"
"cow_lactations.parquet","start_rule","first_service",1512,"observed","n/a","","","read straight from the export; nothing manufactured"
